"","TaskPit","ブラウザ","メール","プログラミング","デバッグ(.NET)","テキスト閲覧・編集","プレゼン編集","データ分析","デスクトップ","ファイル操作","登録外"
"2016年11月16日15時55分","2","0","0","191","0","0","0","0","0","2","183"
"2016年11月16日16時00分","0","0","0","299","0","0","0","0","0","0","0"
"2016年11月16日16時05分","0","0","0","225","0","0","0","0","0","0","72"
"2016年11月16日16時10分","0","11","0","217","0","0","0","0","0","0","67"
"2016年11月16日16時15分","0","242","0","7","0","0","0","0","0","0","38"
"2016年11月16日16時20分","0","0","0","0","0","4","0","0","2","0","287"
"2016年11月16日16時25分","0","199","0","62","0","0","0","0","0","0","30"
"2016年11月16日16時30分","0","0","0","297","0","0","0","0","0","0","0"
"2016年11月16日16時35分","0","0","0","114","0","0","0","0","0","0","177"
"2016年11月16日16時40分","0","0","0","0","0","0","0","0","0","0","299"
"2016年11月16日16時45分","0","0","0","0","0","0","0","0","0","0","207"
"2016年11月16日16時50分","0","208","0","0","0","0","0","0","0","0","79"
"2016年11月16日16時55分","0","35","0","3","0","0","0","0","0","1","248"
"2016年11月16日17時00分","0","272","0","0","0","0","0","0","0","0","18"
"2016年11月16日17時05分","0","109","0","0","0","0","0","0","186","0","0"
"2016年11月16日17時10分","0","300","0","0","0","0","0","0","0","0","0"
"2016年11月16日17時15分","0","299","0","0","0","0","0","0","0","0","1"
"2016年11月16日17時20分","0","179","0","0","0","0","0","0","0","0","0"
"2016年11月16日17時25分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月16日17時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月16日17時35分","0","179","0","0","0","0","0","0","0","0","15"
"2016年11月16日17時40分","0","105","0","0","0","0","0","0","0","0","184"
"2016年11月16日17時45分","0","0","0","0","0","0","0","0","0","0","299"
"2016年11月16日17時50分","0","0","0","0","0","0","0","0","0","0","226"
"2016年11月16日17時55分","0","186","0","0","0","0","0","0","0","0","11"
"2016年11月16日18時00分","0","105","0","0","0","0","0","0","0","0","188"
"2016年11月16日18時05分","0","3","0","291","0","0","0","0","0","0","2"
"2016年11月16日18時10分","0","0","0","172","0","0","0","0","0","0","111"
"2016年11月16日18時15分","0","0","0","117","0","0","0","0","0","6","160"
"2016年11月16日18時20分","0","0","0","300","0","0","0","0","0","0","0"
"2016年11月16日18時25分","0","0","0","33","0","0","0","0","0","0","266"
"2016年11月16日18時30分","0","0","0","85","0","0","0","0","25","1","161"
"2016年11月16日18時35分","0","0","0","47","0","0","0","0","0","0","241"
"2016年11月16日18時40分","0","0","0","0","0","0","0","0","0","0","300"
"2016年11月16日18時45分","0","0","0","0","0","0","0","0","0","0","300"
"2016年11月16日18時50分","0","0","0","0","0","0","0","0","0","0","299"
"2016年11月21日13時10分","5","21","0","0","0","0","11","21","0","76","150"
"2016年11月21日13時15分","0","0","0","0","0","0","0","0","1","56","239"
"2016年11月21日13時20分","0","0","0","0","0","0","0","0","0","0","300"
"2016年11月21日13時25分","0","0","0","0","0","0","0","0","45","0","254"
"2016年11月21日13時30分","0","0","0","34","0","0","7","0","0","57","193"
"2016年11月21日13時35分","0","118","0","0","0","0","128","0","0","48","0"
"2016年11月21日13時40分","0","0","0","0","0","0","297","0","0","0","0"
"2016年11月21日13時45分","0","0","0","0","0","0","300","0","0","0","0"
"2016年11月21日13時50分","0","0","0","0","0","0","301","0","0","0","0"
"2016年11月21日13時55分","0","0","0","0","0","0","300","0","0","0","0"
"2016年11月21日14時00分","58","9","0","0","0","0","186","0","3","31","0"
"2016年11月21日14時05分","283","0","0","0","0","0","16","0","0","0","0"
"2016年11月21日14時10分","300","0","0","0","0","0","0","0","0","0","0"
"2016年11月21日14時15分","70","181","0","0","0","0","10","0","3","7","11"
"2016年11月21日14時20分","58","45","0","0","0","0","15","0","0","59","102"
"2016年11月21日14時25分","0","76","0","0","0","0","219","0","0","0","0"
"2016年11月21日14時30分","0","298","0","0","0","0","0","0","0","0","0"
"2016年11月21日14時35分","0","3","0","0","0","0","7","0","5","0","225"
"2016年11月21日14時40分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月21日14時45分","0","268","0","0","0","0","12","0","0","0","1"
"2016年11月21日14時50分","0","184","0","0","0","0","102","0","0","0","0"
"2016年11月21日14時55分","0","294","0","0","0","0","0","0","0","0","0"
"2016年11月21日15時00分","0","89","0","0","0","0","205","0","0","0","0"
"2016年11月21日15時05分","0","0","0","0","0","0","170","0","1","28","85"
"2016年11月21日15時10分","0","0","0","0","0","0","166","0","0","0","0"
"2016年11月21日15時15分","0","0","0","0","0","0","120","0","0","0","0"
"2016年11月21日15時20分","0","0","0","0","0","0","295","0","0","0","0"
"2016年11月21日15時25分","0","0","0","0","0","0","279","0","0","0","0"
"2016年11月21日15時30分","0","0","0","0","0","0","280","0","0","0","0"
"2016年11月21日15時35分","0","6","0","0","0","0","283","0","0","0","0"
"2016年11月21日15時40分","0","291","0","0","0","0","0","0","0","0","0"
"2016年11月21日15時45分","0","198","0","0","0","0","90","0","0","0","0"
"2016年11月21日15時50分","0","155","0","0","0","0","130","0","0","0","3"
"2016年11月21日15時55分","0","16","0","69","0","0","125","0","0","0","81"
"2016年11月21日16時00分","0","3","0","77","0","5","18","0","3","30","130"
"2016年11月21日16時05分","0","0","0","44","0","0","0","0","0","0","240"
"2016年11月21日16時10分","0","9","0","0","0","0","186","0","0","0","3"
"2016年11月21日16時15分","0","78","0","0","0","0","197","0","0","0","16"
"2016年11月21日16時20分","0","295","0","0","0","0","0","0","0","0","0"
"2016年11月21日16時25分","0","297","0","0","0","0","0","0","0","0","0"
"2016年11月21日16時30分","0","105","0","24","0","0","145","10","0","5","0"
"2016年11月21日16時35分","0","70","0","0","0","0","49","0","15","48","93"
"2016年11月21日16時40分","0","76","0","0","0","0","50","0","8","20","115"
"2016年11月21日16時45分","0","67","0","0","0","0","163","0","0","18","43"
"2016年11月21日16時50分","0","0","0","0","0","0","224","0","0","0","0"
"2016年11月21日16時55分","0","0","0","0","0","0","300","0","0","0","0"
"2016年11月21日17時00分","0","0","0","0","0","3","17","0","0","0","276"
"2016年11月21日17時05分","0","0","0","74","0","0","0","0","0","0","75"
"2016年11月21日17時10分","0","0","0","185","0","0","0","0","0","0","81"
"2016年11月21日17時15分","0","0","0","178","0","0","0","0","0","0","92"
"2016年11月21日17時20分","0","0","0","93","0","0","0","0","0","0","184"
"2016年11月21日17時25分","0","0","0","197","0","0","0","0","0","0","99"
"2016年11月21日17時30分","0","138","0","2","0","0","129","0","0","15","0"
"2016年11月21日17時35分","0","202","0","0","0","0","65","0","0","0","0"
"2016年11月21日17時40分","0","156","0","0","0","0","125","0","0","0","0"
"2016年11月21日17時45分","0","19","0","0","0","0","268","0","0","0","0"
"2016年11月21日17時50分","0","0","0","0","0","0","300","0","0","0","0"
"2016年11月21日17時55分","0","2","0","0","0","0","279","0","0","10","0"
"2016年11月21日18時00分","0","1","0","0","0","0","0","0","8","22","260"
"2016年11月21日18時05分","0","0","0","9","0","0","0","0","0","0","254"
"2016年11月21日18時10分","0","0","0","299","0","0","0","0","0","0","0"
"2016年11月21日18時15分","0","0","0","300","0","0","0","0","0","0","0"
"2016年11月23日16時55分","224","0","0","0","0","0","0","11","3","33","16"
"2016年11月23日17時00分","0","0","0","0","0","0","30","0","1","45","217"
"2016年11月23日17時05分","0","0","0","0","0","0","0","0","0","300","0"
"2016年11月23日17時10分","47","73","0","0","0","0","0","0","1","132","27"
"2016年11月23日17時15分","0","102","0","0","0","0","196","0","0","0","0"
"2016年11月23日17時20分","0","69","0","0","0","0","228","0","0","0","1"
"2016年11月23日17時25分","0","120","0","0","0","0","0","0","0","0","177"
"2016年11月23日17時30分","0","177","0","0","0","0","0","0","0","0","116"
"2016年11月23日17時35分","0","124","0","0","0","0","0","0","0","0","170"
"2016年11月23日17時40分","0","58","0","0","0","0","0","0","0","0","236"
"2016年11月23日17時45分","0","0","0","0","0","0","0","0","0","0","300"
"2016年11月23日17時50分","0","2","0","0","0","0","0","0","0","0","295"
"2016年11月23日17時55分","0","0","0","0","0","0","0","0","0","0","299"
"2016年11月23日18時00分","0","131","0","0","0","0","0","0","0","0","160"
"2016年11月23日18時05分","0","3","0","0","0","0","0","0","0","0","295"
"2016年11月23日18時10分","0","0","0","0","0","0","0","0","0","0","300"
"2016年11月23日18時15分","0","0","0","0","0","0","224","0","1","10","48"
"2016年11月23日18時20分","0","0","0","0","0","0","4","0","0","0","295"
"2016年11月23日18時25分","0","0","0","0","0","0","0","0","0","0","300"
"2016年11月23日18時30分","19","0","0","0","0","0","0","0","0","0","277"
"2016年11月23日18時35分","0","0","0","0","0","0","0","0","0","0","301"
"2016年11月23日18時40分","0","0","0","0","0","0","0","0","0","0","299"
"2016年11月23日18時45分","0","17","0","0","0","0","0","0","1","13","254"
"2016年11月24日12時40分","52","0","0","0","0","0","0","0","0","0","301"
"2016年11月24日12時45分","0","0","0","0","0","0","0","0","0","43","244"
"2016年11月24日12時50分","0","0","0","0","0","0","0","0","0","0","298"
"2016年11月24日12時55分","0","0","0","0","0","0","0","0","0","0","113"
"2016年11月24日13時00分","0","115","0","0","0","0","0","0","1","0","7"
"2016年11月24日13時05分","0","122","0","0","0","0","124","0","15","29","0"
"2016年11月24日13時10分","0","297","0","0","0","0","0","0","0","0","0"
"2016年11月24日13時15分","0","82","0","0","0","0","209","0","0","0","0"
"2016年11月24日13時20分","0","0","0","0","0","0","298","0","0","0","0"
"2016年11月24日13時25分","0","0","0","0","0","0","290","0","0","0","0"
"2016年11月24日13時30分","0","0","0","0","0","0","287","0","0","0","0"
"2016年11月24日13時35分","97","2","0","0","0","0","88","0","0","84","0"
"2016年11月24日13時40分","51","105","0","0","0","0","48","0","13","45","15"
"2016年11月24日13時45分","0","1","0","0","0","0","139","0","0","5","144"
"2016年11月24日13時50分","0","0","0","0","0","0","68","0","1","29","187"
"2016年11月24日13時55分","0","0","0","0","0","0","300","0","0","0","0"
"2016年11月24日14時00分","0","0","0","0","0","0","299","0","0","0","0"
"2016年11月24日14時05分","0","0","0","0","0","0","298","0","0","0","0"
"2016年11月24日14時10分","0","0","0","0","0","0","300","0","0","0","0"
"2016年11月24日14時15分","0","41","0","0","0","0","239","0","0","0","0"
"2016年11月24日14時20分","0","227","0","0","0","0","62","0","0","5","0"
"2016年11月24日14時25分","0","132","0","0","0","0","86","0","0","2","66"
"2016年11月24日14時30分","0","0","0","0","0","0","261","0","3","26","0"
"2016年11月24日14時35分","0","51","0","0","0","0","240","0","0","0","0"
"2016年11月24日14時40分","0","0","0","0","0","0","244","0","0","0","54"
"2016年11月24日14時45分","0","0","0","0","0","0","271","0","0","0","28"
"2016年11月24日14時50分","0","0","0","0","0","0","301","0","0","0","0"
"2016年11月24日14時55分","0","98","0","0","0","0","187","0","0","0","0"
"2016年11月24日15時00分","0","115","0","0","0","0","155","0","0","0","0"
"2016年11月24日15時05分","0","27","0","0","0","0","256","0","0","1","5"
"2016年11月24日15時10分","0","0","0","0","0","0","76","0","0","6","206"
"2016年11月24日15時15分","0","0","0","0","0","0","281","0","0","1","11"
"2016年11月24日15時20分","0","0","0","0","0","0","191","0","0","0","108"
"2016年11月24日15時25分","0","0","0","0","0","0","232","0","0","9","38"
"2016年11月24日15時30分","0","0","0","0","0","0","300","0","0","0","0"
"2016年11月24日15時35分","0","0","0","0","0","0","100","0","3","0","194"
"2016年11月24日17時00分","0","0","0","0","0","0","0","0","0","37","74"
"2016年11月24日17時05分","0","255","0","0","0","0","0","0","0","0","1"
"2016年11月24日17時10分","0","283","0","0","0","0","0","0","0","0","0"
"2016年11月24日17時15分","0","285","0","0","0","0","0","0","0","0","0"
"2016年11月24日17時20分","0","270","0","0","0","0","0","0","0","0","28"
"2016年11月24日17時25分","0","89","0","0","0","0","0","0","0","0","0"
"2016年11月24日17時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日17時35分","0","281","0","0","0","0","0","0","2","0","0"
"2016年11月24日17時40分","0","300","0","0","0","0","0","0","0","0","0"
"2016年11月24日17時45分","0","10","0","0","0","0","0","0","0","0","0"
"2016年11月24日17時50分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日17時55分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日18時00分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日18時05分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日18時10分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日18時15分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日18時20分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日18時25分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月24日18時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日14時45分","4","72","0","0","0","0","0","0","318","12","67"
"2016年11月29日14時50分","0","299","0","0","0","0","0","0","0","0","0"
"2016年11月29日14時55分","0","300","0","0","0","0","0","0","0","0","0"
"2016年11月29日15時00分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日15時05分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日15時10分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日15時15分","0","1","0","0","0","0","0","0","0","0","141"
"2016年11月29日15時20分","0","0","0","0","0","0","0","0","0","0","300"
"2016年11月29日15時25分","0","0","0","0","0","0","0","0","0","0","300"
"2016年11月29日15時30分","0","0","0","0","0","0","0","0","0","0","300"
"2016年11月29日15時35分","0","39","0","0","0","0","0","0","0","0","257"
"2016年11月29日15時40分","0","298","0","0","0","0","0","0","0","0","0"
"2016年11月29日15時45分","0","193","0","0","0","0","0","0","0","0","105"
"2016年11月29日15時50分","0","0","0","0","0","0","0","0","0","0","300"
"2016年11月29日15時55分","0","0","0","0","0","0","0","0","0","0","202"
"2016年11月29日16時00分","0","123","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時05分","0","301","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時10分","0","184","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時15分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時20分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時25分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時35分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時40分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時45分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時50分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日16時55分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時00分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時05分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時10分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時15分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時20分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時25分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時35分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時40分","0","295","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時45分","0","300","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時50分","0","23","0","0","0","0","0","0","0","0","0"
"2016年11月29日17時55分","0","13","0","0","0","0","0","0","0","0","34"
"2016年11月29日18時00分","0","258","0","0","0","0","0","0","0","0","40"
"2016年11月29日18時05分","0","221","0","0","0","0","0","0","72","0","0"
"2016年11月29日18時10分","0","204","0","0","0","0","0","0","84","0","0"
"2016年11月29日18時15分","0","294","0","0","0","0","0","0","0","0","0"
"2016年11月29日18時20分","0","87","0","0","0","0","0","0","0","0","0"
"2016年11月29日18時25分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日18時30分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日18時35分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月29日18時40分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月30日15時00分","21","0","0","0","0","0","94","0","0","106","45"
"2016年11月30日15時10分","0","30","0","0","0","0","0","61","0","131","0"
"2016年11月30日15時15分","110","65","0","0","0","0","0","49","16","27","2"
"2016年11月30日15時20分","0","136","0","0","0","0","0","0","0","82","52"
"2016年11月30日15時25分","0","8","0","0","0","0","0","0","0","30","242"
"2016年11月30日15時30分","0","234","0","0","0","0","0","0","0","0","52"
"2016年11月30日15時35分","0","227","0","0","0","0","34","0","0","0","22"
"2016年11月30日15時40分","0","102","0","0","0","0","31","0","5","97","49"
"2016年11月30日15時45分","0","298","0","0","0","0","0","0","0","0","0"
"2016年11月30日15時50分","0","179","0","0","0","0","0","3","2","52","50"
"2016年11月30日15時55分","0","130","0","0","0","0","0","0","0","78","53"
"2016年11月30日16時00分","0","172","0","0","0","0","16","3","0","13","82"
"2016年11月30日16時05分","0","64","0","0","0","0","0","0","0","0","231"
"2016年11月30日16時10分","0","226","0","0","0","0","0","0","0","0","72"
"2016年11月30日16時15分","0","229","0","0","0","0","0","0","0","0","53"
"2016年11月30日16時20分","0","296","0","0","0","0","0","0","0","0","0"
"2016年11月30日16時25分","0","121","0","109","0","0","0","26","3","20","0"
"2016年11月30日16時30分","0","230","0","64","0","0","0","0","0","0","0"
"2016年11月30日16時35分","0","296","0","0","0","0","0","0","0","0","0"
"2016年11月30日16時40分","0","287","0","0","0","0","0","0","0","0","0"
"2016年11月30日16時45分","0","198","0","0","0","0","0","0","0","0","98"
"2016年11月30日16時50分","0","220","0","0","0","0","56","0","2","0","13"
"2016年11月30日16時55分","0","283","0","0","0","0","0","0","0","0","12"
"2016年11月30日17時00分","0","115","0","0","0","0","0","8","0","0","149"
"2016年11月30日17時05分","0","154","0","0","0","0","0","37","0","0","94"
"2016年11月30日17時10分","0","127","0","0","0","0","0","2","0","0","163"
"2016年11月30日17時15分","0","24","0","0","0","0","0","28","1","21","188"
"2016年11月30日17時20分","0","2","0","0","0","0","0","19","0","0","272"
"2016年11月30日17時25分","0","0","0","0","0","0","0","0","0","0","299"
"2016年11月30日17時30分","0","7","0","0","0","0","0","0","0","0","287"
"2016年11月30日17時35分","0","0","0","0","0","0","0","6","0","0","292"
"2016年11月30日17時40分","0","0","0","0","0","0","0","0","0","0","16"
"2016年11月30日17時45分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月30日17時50分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月30日17時55分","0","224","0","0","0","0","0","0","0","0","1"
"2016年11月30日18時00分","0","300","0","0","0","0","0","0","0","0","0"
"2016年11月30日18時05分","0","94","0","0","0","0","0","0","0","0","4"
"2016年11月30日18時10分","0","0","0","0","0","0","0","0","0","0","0"
"2016年11月30日18時15分","0","2","0","0","0","0","0","0","0","3","0"
"2016年11月30日18時20分","0","11","0","0","0","0","0","0","0","104","178"
"2016年11月30日18時25分","0","236","0","0","0","0","0","3","0","0","55"
"2016年11月30日18時30分","0","178","0","0","0","0","0","0","0","0","116"
"2016年11月30日18時35分","0","16","0","0","0","0","0","2","0","0","271"
"2016年11月30日18時40分","0","0","0","0","0","0","0","0","0","0","295"
"2016年11月30日18時45分","0","29","0","0","0","0","0","0","0","0","264"
"2016年11月30日18時45分","0","29","0","0","0","0","0","0","0","0","264"
"2016年12月01日17時45分","6","301","0","0","0","0","0","24","0","152","1"
"2016年12月01日17時50分","26","94","0","0","0","0","0","0","0","162","0"
"2016年12月01日17時55分","0","196","0","0","0","0","0","0","0","81","0"
"2016年12月01日18時00分","21","63","0","0","0","1","8","0","4","166","2"
"2016年12月01日18時10分","32","218","0","0","0","0","0","45","7","101","7"
